,Text,User Name,Date of Tweet,Like Count,Comment Count,retweet Count,View count
0,"I keep telling people I’m an alien, but no one believes me ",@Tonton_Mahamet,4h,error like count!,error comment count!,error retweet count !,21.5K
1,"Hello 
@elonmusk
 @ellagirwin
 Please also kindly label 
@RFI
 @RFIAfrique
 @FRANCE24
 as France-state affiliated media or Government Funded Media.",@Tonton_Mahamet,3h,error like count!,error comment count!,error retweet count !,21.5K
2,"This ones easy ser, #MONKEYS is on Elon Musk's official twitter list.

It went to 5.2M ATH on the first day, once he starts tweeting, this is the next Floki",@Tonton_Mahamet,40m,error like count!,error comment count!,error retweet count !,21.5K
3,"My Balloons were late
Anyways thank you Elon Musk",@Tonton_Mahamet,5h,error like count!,error comment count!,error retweet count !,21.5K
4,"Hey Team Twitter,  
@elonmusk
 @ellagirwin
, 
i have noticed that you have done a great job,labeling BBC as ""Government funded media"". It would be great if you could also label 
@RFI
 @RFIAfrique
 @FRANCE24
 as France-state affiliated media or Government Funded Media.",@Tonton_Mahamet,52m,error like count!,error comment count!,error retweet count !,21.5K
5,"Hey 
@elonmusk
, it’s either ‘Government Funded’ or ‘State-Affiliated’ or no labels for all. Don’t treat western propaganda media differently because they are outraged by being labeled. They never complained about Twitter labeling foreign news organizations or journalists. Be fair.",@Tonton_Mahamet,1h,error like count!,error comment count!,error retweet count !,21.5K
6,I just LOVE how Elon Musk trolls the left!,@Tonton_Mahamet,5h,error like count!,error comment count!,error retweet count !,21.5K
7,"I do 
@elonmusk
 I believe you.",@Tonton_Mahamet,4h,error like count!,error comment count!,error retweet count !,21.5K
8,Elon musk says I can’t be able to follow more people nowI will definitely follow y’all later,@Tonton_Mahamet,3m,error like count!,error comment count!,error retweet count !,21.5K
9,"Hello Whitehouse am Elon Musk, can you please invite me I won't come ",@Tonton_Mahamet,3h,error like count!,error comment count!,error retweet count !,999999999
